CarlosLopez;carlos@hotmail.com;medellin;CLAROS;GRUESA;MUSICA;VIAJES;PROFESIONAL;SOCIALES;14;7;1945;M;184;0
JuanMoreno;juanpa@correo.ud;bogota;CLAROS;DELGADA;MUSICA;MANUALIDADES;PROFESIONAL;SALUD;8;4;1947;M;176;1
andersonRamirez;anderson@correo.ud;medellin;OSCUROS;DELGADA;VIAJES;CINE;ESPECIALIZACION;ARTES;16;8;1949;M;168;3
andresRodriguez;andres@correo.ud;medellin;OSCUROS;GRUESA;CINE;;TECNICO;COMUNICACI‡N;20;10;1951;M;160;0
manuelMu§oz;manu@correo.ud;bogota;OSCUROS;NORMAL;DEPORTES;MANUALIDADES;PROFESIONAL;SALUD;24;12;1953;M;165;2
diegoCastillo;diego@gmail.com;medellin;OSCUROS;NORMAL;DEPORTES;MUSICA;MAESTRIA;INGENIERIA;6;3;1955;M;158;1
julioMoreno;julio@claro.com;barranquilla;OSCUROS;GRUESA;MANUALIDADES;;ESPECIALIZACION;COMUNICACI‡N;2;1;1957;M;157;0
miguelPerez;miguel@gmail.com;villavicencio;CLAROS;GRUESA;DEPORTES;MUSICA;BACHILLER;OTROS;10;5;1959;M;184;4
estebanPareja;esteban@gmail.com;villavicencio;OSCUROS;DELGADA;MANUALIDADES;VIAJES;TECNICO;COMUNICACI‡N;18;9;1961;M;176;2
jamesRodrigues;james@cco.co;ibague;OSCUROS;NORMAL;DEPORTES;VIAJES;PROFESIONAL;INGENIERIA;22;11;1963;M;168;0
falcaoGarcia;tigre@cco.co;barranquilla;OSCUROS;GRUESA;DEPORTES;VIAJES;TECNICO;OTROS;4;2;1965;M;160;3
joseRomero;jose@correo.ud;bogota;OSCUROS;DELGADA;MANUALIDADES;;BACHILLER;SALUD;18;9;1967;M;165;1
albertoAcosta;alb@correo.ud;ibague;OSCUROS;DELGADA;LECTURAS;;MAESTRIA;INGENIERIA;12;6;1969;M;158;0
alejandroDaza;apdaza@hotmail.com;bogota;OSCUROS;GRUESA;LECTURAS;MANUALIDADES;ESPECIALIZACION;INGENIERIA;16;8;1971;M;157;2
andresLuque;andres@hotmail.com;barranquilla;OSCUROS;NORMAL;DEPORTES;CINE;PROFESIONAL;DISE•O;10;5;1973;M;166;0
jorgeVillamil;jorge@etb.com;villavicencio;CLAROS;NORMAL;LECTURAS;;MAESTRIA;INGENIERIA;6;3;1975;M;157;0
